"draw","cumulative","peakDebt","breakEven","year10Cost","northGrowth","southGrowth","ukPensionShare","ukDebtShare","reratingScope","interestRate","taxMultiplier","investmentOutputReturn","oneOffTransitionCost"
"1","111.47","78.03","","5.11","3.0501","1.9036","100","100","25.6874","4.3412","0.6789","0.0668","5.1859"
"2","469.93","328.95","","17.27","3.1116","2.3692","51.1029","51.1029","68.4633","3.9028","0.5393","0.0686","6.9618"
"3","485.38","339.77","","18.56","3.4345","3.1071","31.5412","31.5412","61.7462","2.4226","0.3179","0.0781","2.8645"
"4","297.19","208.03","","11.72","3.7723","2.9385","66.7734","66.7734","48.4013","2.8569","0.3684","0.088","4.6466"
"5","307.08","214.96","","11.99","3.5603","2.7196","67.0275","67.0275","48.4103","3.162","0.4341","0.0818","4.6826"
"6","294.33","206.03","","11.44","2.8413","1.6008","73.5319","73.5319","48.2551","4.7954","0.7698","0.0607","5.5195"
"7","3.7","22.78","13","2.21","4.8","3.0003","97.4516","97.4516","25","2.4308","0.3499","0.124","1.645"
"8","44.9","35.27","20","3.37","4.1623","2.6087","97.4682","97.4682","25","3.1755","0.4674","0.0994","3.4597"
"9","294.19","205.93","","11.26","3.2989","2.6601","74.8441","74.8441","43.9382","3.2509","0.452","0.0741","4.7455"
"10","369.19","258.43","","14.02","3.219","2.6394","59.9234","59.9234","49.9672","3.2031","0.4582","0.0718","4.0738"
"11","381.47","267.03","","14.08","2.9546","2.4543","66.4299","66.4299","52.7069","3.6251","0.5137","0.064","5.5479"
"12","36.69","31.16","19","2.94","4.5691","3.0342","100","100","25","2.7715","0.3397","0.1114","5.0527"
"13","87.76","61.72","25","5.27","4.5331","2.8719","79.4762","79.4762","26.3865","2.5915","0.3884","0.1103","1.5045"
"14","305.91","214.13","","11.76","3.099","2.1532","71.9773","71.9773","47.4819","3.9929","0.604","0.0682","5.1412"
"15","59.9","41.93","","3.73","3.7129","2.3607","100","100","25","3.2701","0.5418","0.0862","1.2912"
"16","318.62","223.03","","12.17","3.5571","2.4349","73.2816","73.2816","61.6735","3.9802","0.5195","0.0817","8.4381"
"17","246.34","172.44","","9.58","3.1913","2.1933","84.4123","84.4123","45.2626","4.0715","0.592","0.0709","6.3182"
"18","255.19","178.64","","9.37","2.6565","2.5628","91.8313","91.8313","29.3178","3.2777","0.4811","0.0553","3.8039"
"19","81.75","57.22","","4.43","4.2994","3.053","94.1943","94.1943","25","2.3055","0.3341","0.1035","1.1792"
"20","140.34","98.24","","5.85","3.41","2.7961","100","100","25","2.6614","0.4112","0.0774","1.2026"
"21","362.65","253.85","","14.04","3.8341","2.1931","63.4985","63.4985","78.3668","4.5811","0.5921","0.0898","10.8005"
"22","137.33","96.13","","6.68","4.8","3.4125","76.9628","76.9628","33.3892","2","0.2262","0.119","2.7085"
"23","499.46","349.63","","18.81","3.4947","2.444","36.3821","36.3821","75.7241","3.7575","0.5168","0.0798","6.5879"
"24","168.53","117.97","","8.21","4.8","3.1063","65.4797","65.4797","42.3723","2.4558","0.3181","0.1236","3.147"
"25","111.7","78.19","","4.95","3.8873","2.9378","100","100","25","2.9672","0.3687","0.0914","5.6085"
"26","43.41","32.94","21","3.15","4.3928","2.9385","100","100","25","2.6842","0.3684","0.1062","3.1272"
"27","213.32","149.32","","8.3","3.0809","2.7463","88.9405","88.9405","25","2.8021","0.4261","0.0677","1.8381"
"28","-82.59","16.29","10","-0.02","4.5068","1.9763","100","100","27.4491","4.1685","0.6571","0.1095","4.5456"
"29","499.07","349.35","","18.88","3.4435","2.7242","33.6249","33.6249","69.7642","3.1812","0.4327","0.0783","4.9075"
"30","385.73","270.01","","15.15","3.8462","2.7349","46.9818","46.9818","62.7599","3.1947","0.4295","0.0902","5.1552"
"31","505.45","353.82","","18.3","2.8758","2.1297","49.2242","49.2242","70.6632","4.2585","0.6111","0.0617","7.1942"
"32","299.98","209.99","","10.21","1.6727","2.0906","100","100","26.5764","4.0814","0.6228","0.0264","5.1629"
"33","190.67","133.47","","8.98","4.2751","2.5029","66.273","66.273","46.1286","3.3914","0.4991","0.1027","4.0796"
"34","219.63","153.74","","8.09","2.6119","2.6844","100","100","25","2.8928","0.4447","0.0539","1.8871"
"35","445.98","312.18","","15.6","2.1558","2.2548","71.897","71.897","52.3128","3.9728","0.5736","0.0406","6.1933"
"36","373.06","261.14","","12.95","2.3805","2.0902","85.7058","85.7058","53.9291","4.4496","0.6229","0.0472","8.398"
"37","552.6","386.82","","19.36","2.4568","1.9658","52.9708","52.9708","73.0095","4.5995","0.6602","0.0494","8.2121"
"38","104","72.8","","5.64","3.8686","2.0186","92.3001","92.3001","45.6401","4.4412","0.6444","0.0908","7.4575"
"39","60.37","43.97","22","3.78","3.5295","1.9702","100","100","25","4.6319","0.6589","0.0809","8.5505"
"40","313.92","219.75","","11.4","2.692","2.2399","84.0174","84.0174","45.0857","3.9969","0.578","0.0563","6.2264"
"41","49.8","49.47","18","4.64","4.8","2.5674","77.8219","77.8219","36.0194","3.2257","0.4798","0.1319","3.4022"
"42","280.07","196.05","","10.76","2.9417","2.2285","76.6418","76.6418","38.2043","3.7284","0.5815","0.0636","3.7248"
"43","193.29","135.3","","9.44","4.4206","2.5334","57.1187","57.1187","43.6816","3.149","0.49","0.107","2.3154"
"44","329.89","230.93","","12.34","3.2694","2.9648","73.5437","73.5437","46.8414","2.8848","0.3606","0.0732","5.2101"
"45","190.29","133.2","","8.54","4.0529","2.6553","71.9477","71.9477","38.3775","3.0745","0.4534","0.0962","3.1343"
"46","118.32","82.82","","5.29","3.4605","2.3668","100","100","29.7125","3.7098","0.54","0.0788","5.2342"
"47","131.35","92.32","25","7.4","4.8","2.6094","69.0593","69.0593","50.0005","3.3841","0.4672","0.1182","5.3046"
"48","43.53","40.96","18","3.89","4.8","2.8796","85.4169","85.4169","29.1685","2.7408","0.3861","0.1218","2.912"
"49","274.09","191.86","","11.82","4.1229","2.1108","61.3137","61.3137","67.9214","4.3999","0.6168","0.0983","8.2099"
"50","345.15","241.61","","12.76","2.8188","2.1768","73.0551","73.0551","48.7897","4.0095","0.597","0.06","5.5733"
"51","93.85","65.7","","5.03","3.73","2.1033","96.3073","96.3073","38.3674","4.2039","0.619","0.0867","6.3942"
"52","223.47","156.43","","9.55","3.8675","2.5554","70.5647","70.5647","42.3293","3.2896","0.4834","0.0908","3.8185"
"53","87.25","61.07","","4.62","4.5623","3.155","94.4564","94.4564","32.4276","2.5812","0.3035","0.1112","4.8395"
"54","239.78","167.84","","9.85","3.6022","1.9601","80.9609","80.9609","60.7295","4.7263","0.662","0.083","9.2587"
"55","363.15","254.21","","13.99","3.4308","2.5336","57.8816","57.8816","54.9511","3.442","0.4899","0.078","4.8969"
"56","83.15","58.25","25","4.84","4.7257","3.1477","85.9253","85.9253","29.5698","2.3899","0.3057","0.116","3.0684"
"57","269.54","188.68","","9.75","2.4905","2.0136","92.7939","92.7939","39.2534","4.2959","0.6459","0.0504","6.1186"
"58","290.43","203.3","","11.65","3.9479","2.7993","65.9644","65.9644","54.4077","3.1862","0.4102","0.0931","5.8597"
"59","541.74","379.22","","19.79","2.3198","2.2892","37.6332","37.6332","54.7712","3.4655","0.5632","0.0454","2.1458"
"60","263.58","184.5","","10.08","3.2851","2.471","83.5233","83.5233","46.2347","3.7004","0.5087","0.0737","6.413"
"61","318.26","222.78","","12.25","3.2751","2.7148","67.0563","67.0563","42.4746","3.0207","0.4356","0.0734","3.3807"
"62","-7.02","20.51","12","1.96","4.2668","2.4201","100","100","25","3.1898","0.524","0.1025","1.3031"
"63","571.44","400.01","","21.28","3.1947","2.6392","24.8399","24.8399","74.9983","3.2953","0.4582","0.071","4.8825"
"64","308.34","215.84","","12.57","3.632","2.2909","56.8173","56.8173","50.9788","3.6603","0.5627","0.0839","3.8804"
"65","348.61","244.02","","13.07","3.2416","2.1771","71.0943","71.0943","61.496","4.297","0.5969","0.0724","8.1061"
"66","259.72","181.8","","10.91","4.2826","2.8696","64.1876","64.1876","54.6559","3.0687","0.3891","0.103","5.6764"
"67","391.95","274.37","","14.42","2.7829","2.6108","65.1585","65.1585","47.4564","3.2593","0.4668","0.059","4.2225"
"68","332.37","232.66","","12.76","3.8725","3.2093","66.5141","66.5141","56.7561","2.6895","0.2872","0.0909","6.45"
"69","376.84","263.79","","14.54","3.4728","2.7659","53.1231","53.1231","52.8285","2.9972","0.4202","0.0792","3.7927"
"70","274.83","192.38","","10.96","3.2524","2.4058","68.4726","68.4726","36.6223","3.3208","0.5283","0.0727","2.2828"
"71","267.91","187.54","","11.4","4.1334","2.5287","60.1708","60.1708","55.9182","3.5078","0.4914","0.0986","5.4162"
"72","257.19","180.03","","10.08","3.8981","3.0851","79.2251","79.2251","48.5622","2.8488","0.3245","0.0917","6.3495"
"73","249.1","174.37","","10.14","3.5391","2.5618","71.5617","71.5617","38.6103","3.2029","0.4815","0.0811","3.1338"
"74","480.36","336.25","","17.71","2.6559","1.6994","45.8255","45.8255","60.519","4.5449","0.7402","0.0552","4.5073"
"75","235.86","165.1","","8.47","2.4944","2.3651","100","100","29.9455","3.7023","0.5405","0.0505","5.1476"
"76","49.96","36.03","23","3.48","3.7121","2.2806","100","100","25","3.3536","0.5658","0.0862","1.0579"
"77","234.72","164.31","","8.43","2.6179","2.5489","100","100","29.17","3.4928","0.4853","0.0541","5.5278"
"78","330.21","231.15","","12.03","2.5981","1.9056","79.855","79.855","48.3253","4.4743","0.6783","0.0535","6.3817"
"79","394.29","276","","15.57","3.6029","2.1637","44.897","44.897","64.136","3.9827","0.6009","0.083","5.1787"
"80","412.93","289.05","","14.47","2.3916","2.252","76.8045","76.8045","54.6613","4.11","0.5744","0.0475","7.3671"
"81","601.7","421.19","","21.46","2.5556","1.7368","36.1143","36.1143","75.961","4.7317","0.729","0.0523","6.6041"
"82","204.36","143.05","","8.79","3.6704","2.1263","79.9115","79.9115","49.1852","4.1932","0.6121","0.085","6.5785"
"83","115.1","80.89","25","6.46","4.6451","2.5791","80.3263","80.3263","50.3657","3.6065","0.4763","0.1136","6.8937"
"84","350.74","245.52","","12.8","2.5346","2.408","74.763","74.763","39.6513","3.4892","0.5276","0.0517","3.7916"
"85","424.05","296.84","","16.28","3.5709","2.6104","45.2807","45.2807","64.2789","3.3779","0.4669","0.0821","5.2616"
"86","295.73","207.01","","12.28","4.1647","2.5031","59.5959","59.5959","64.4287","3.7471","0.4991","0.0995","7.2115"
"87","538.94","377.26","","19.88","3.5752","2.3446","38.4242","38.4242","89.3419","4.2657","0.5466","0.0822","9.8572"
"88","265.64","185.95","","10.46","3.0515","2.3984","73.0614","73.0614","31.5326","3.2735","0.5305","0.0668","1.7776"
"89","93.99","65.79","","4.53","3.7695","2.6474","100","100","25","3.2577","0.4558","0.0879","4.6504"
"90","59.01","43.83","22","4","4.6875","3.0635","89.9965","89.9965","26.9977","2.5033","0.3309","0.1148","3.0477"
"91","595.07","416.55","","21.16","1.99","2.2259","40.2101","40.2101","60.6065","3.7376","0.5822","0.0357","3.7746"
"92","342.18","239.52","","12.26","2.9936","2.6118","83.8939","83.8939","55.4991","3.7441","0.4665","0.0651","8.5008"
"93","370.84","259.59","","14.68","3.9433","2.9336","47.2586","47.2586","59.1889","2.8364","0.3699","0.093","4.4066"
"94","341.31","238.92","","12.16","2.5835","2.1647","84.0999","84.0999","49.8973","4.222","0.6006","0.0531","7.296"
"95","311.76","218.23","","12.11","3.2539","2.8578","65.0166","65.0166","36.0407","2.6321","0.3926","0.0728","1.692"
"96","254.5","178.15","","11.39","4.5253","2.8863","48.8703","48.8703","49.0424","2.6722","0.3841","0.1101","2.3902"
"97","99.19","69.44","","4.58","4.2034","3.1976","100","100","25","2.5931","0.2907","0.1006","5.4601"
"98","425.83","298.08","","15.99","3.2243","2.2473","52.7846","52.7846","64.1126","3.9872","0.5758","0.0719","6.2298"
"99","211.42","148","","8.8","3.9353","3.0104","77.0237","77.0237","35.941","2.6025","0.3469","0.0928","3.278"
"100","305.17","213.62","","11.65","2.7198","2.3731","70.5832","70.5832","30.1866","3.2369","0.5381","0.0571","1.1496"
"101","292.1","204.47","","12.64","4.7958","3.0859","46.9157","46.9157","63.6436","2.7331","0.3242","0.118","5.3407"
"102","330.01","231.01","","12.92","4.0015","3.026","62.1335","62.1335","59.8137","2.9513","0.3422","0.0947","6.536"
"103","334.09","233.86","","12.14","2.5268","2.153","79.1471","79.1471","42.4563","3.9766","0.6041","0.0515","4.9957"
"104","253.72","177.6","","10.18","3.8902","2.733","76.4675","76.4675","52.5012","3.3894","0.4301","0.0914","6.8468"
"105","198.48","138.94","","9.11","3.9181","2.1592","69.9458","69.9458","47.2171","3.9471","0.6022","0.0923","4.8109"
"106","412.95","289.07","","14.62","2.7201","2.4181","74.581","74.581","60.3927","3.991","0.5246","0.0571","8.3303"
"107","334.57","234.2","","12.42","2.9773","2.1266","75.2666","75.2666","53.8285","4.2382","0.612","0.0647","6.978"
"108","506.31","354.42","","19.67","3.5723","2.6669","19.7827","19.7827","66.62","2.9707","0.4499","0.0821","2.3621"
"109","291.22","203.86","","11.12","2.9607","2.4467","74.9952","74.9952","36.3368","3.3567","0.516","0.0642","3.0935"
"110","121.45","85.01","","5.48","4.2401","3.1538","95.9032","95.9032","32.4254","2.6048","0.3039","0.1017","5.0328"
"111","205.52","143.86","","9.31","4.1149","2.3662","69.7229","69.7229","50.8118","3.749","0.5401","0.098","5.5719"
"112","350.85","245.59","","12.1","2.55","2.0426","91.8217","91.8217","59.5211","4.7479","0.6372","0.0521","10.4473"
"113","426.02","298.22","","15.06","2.492","2.2734","71.726","71.726","56.4725","4.0486","0.568","0.0504","7.0855"
"114","298.3","208.81","","10.73","2.4763","2.5169","88.6782","88.6782","33.9131","3.4077","0.4949","0.05","4.3926"
"115","203.08","142.16","","8.32","3.2044","2.165","84.8266","84.8266","35.3389","3.8687","0.6005","0.0713","4.1905"
"116","245.21","171.65","","10.12","3.74","2.2382","75.6727","75.6727","55.6595","4.1367","0.5785","0.087","7.4352"
"117","217.2","152.04","","9.7","4.4974","2.9707","63.4195","63.4195","47.2239","2.7322","0.3588","0.1093","3.9385"
"118","312.93","219.05","","11.19","2.6336","2.3213","88.2372","88.2372","45.264","3.9537","0.5536","0.0546","6.8307"
"119","81.34","56.93","","4.43","4.8","3.5","91.3089","91.3089","25","2","0.2","0.1244","2.4257"
"120","121.3","84.91","","6.26","4.4601","2.8991","79.1816","79.1816","32.8725","2.7117","0.3803","0.1082","2.8919"
"121","529.33","370.53","","18.05","2.0644","2.4881","70.9721","70.9721","67.3605","4.0141","0.5036","0.0379","9.3799"
"122","416.68","291.68","","15.06","2.5676","2.1406","65.3641","65.3641","53.0309","4.0483","0.6078","0.0526","5.4764"
"123","216.62","151.63","","8.11","2.7142","2.9487","100","100","25","2.1311","0.3654","0.057","0"
"124","140.3","98.21","","6.58","3.867","2.5059","84.9941","84.9941","33.025","3.3445","0.4982","0.0908","3.7039"
"125","128.13","89.69","","6.14","3.9497","2.68","85.3019","85.3019","27.6024","2.9744","0.446","0.0932","2.5521"
"126","523.61","366.52","","18.35","2.6395","1.838","57.9119","57.9119","76.5119","4.9381","0.6986","0.0548","9.6443"
"127","35.28","33.64","18","3.16","4.2257","2.469","100","100","31.7616","3.6982","0.5093","0.1013","6.3689"
"128","206.18","144.33","","8.35","3.5859","2.999","82.4303","82.4303","27.3782","2.4864","0.3503","0.0825","2.1182"
"129","276.65","193.65","","11.7","4.2921","2.8032","57.0715","57.0715","55.3373","3.0687","0.409","0.1032","4.8733"
"130","205.54","143.88","","8.82","4.2099","2.7686","78.17","78.17","51.1855","3.3335","0.4194","0.1008","6.7853"
"131","438.6","307.02","","16.1","2.9105","2.4983","56.9271","56.9271","57.9901","3.552","0.5005","0.0627","5.4376"
"132","425.29","297.7","","16.18","3.3132","2.5793","47.0775","47.0775","58.4183","3.3015","0.4762","0.0745","4.2128"
"133","97.07","67.95","","4.85","4.232","3.1613","94.1317","94.1317","25","2","0.3016","0.1015","0"
"134","97.79","69.26","24","5.79","4.2029","2.2603","83.1649","83.1649","40.5213","3.8419","0.5719","0.1006","5.1081"
"135","123.06","86.14","","5.42","3.5707","2.4392","100","100","31.8744","3.7962","0.5182","0.0821","6.8711"
"136","516.51","361.56","","18.14","2.6798","2.4912","60.6127","60.6127","72.8998","3.9906","0.5026","0.0559","9.2113"
"137","96.61","67.63","","5.37","4.1445","2.4207","88.9357","88.9357","37.8989","3.6436","0.5238","0.0989","5.3039"
"138","534.35","374.05","","18.72","2.2014","2.3912","58.115","58.115","63.4194","3.8532","0.5326","0.0419","6.7911"
"139","275.77","193.04","","11.2","3.4794","2.21","67.2067","67.2067","47.5725","3.8445","0.587","0.0794","4.5223"
"140","401.51","281.06","","14.39","2.6646","2.09","71.6581","71.6581","57.8068","4.333","0.623","0.0555","7.37"
"141","151.95","106.36","","7.92","4.248","2.3342","66.4184","66.4184","39.3231","3.4555","0.5497","0.1019","2.6019"
"142","165.28","115.7","","8.1","4.8","2.927","70.3357","70.3357","51.0214","2.9924","0.3719","0.1216","5.7001"
"143","184.78","129.34","","7.9","3.5877","2.1653","86.8356","86.8356","46.2728","4.1721","0.6004","0.0826","6.865"
"144","165.75","116.02","","8.76","4.4314","2.2797","59.6358","59.6358","46.2218","3.5997","0.5661","0.1073","3.2113"
"145","401.63","281.14","","14.77","3.4215","2.829","65.8195","65.8195","66.4807","3.4449","0.4013","0.0777","8.4964"
"146","579.51","405.66","","21.06","3.0207","2.6359","35.0115","35.0115","78.6535","3.546","0.4592","0.0659","7.0488"
"147","190.89","133.63","","9.05","4.2743","2.4708","65.0747","65.0747","46.0018","3.4141","0.5088","0.1027","3.8913"
"148","255.46","178.82","","10.91","3.9829","2.5605","60.6632","60.6632","46.7721","3.243","0.4819","0.0942","3.47"
"149","400.37","280.26","","15.92","3.2856","2.3428","35.8159","35.8159","46.035","3.1458","0.5472","0.0737","0"
"150","405.26","283.68","","15.02","3.0103","2.4848","60.2691","60.2691","55.2428","3.5528","0.5046","0.0656","5.2808"
"151","305.78","214.04","","11.14","2.5914","2.1952","84.1273","84.1273","40.7554","3.9519","0.5914","0.0533","5.2885"
"152","293.27","205.29","","11.2","3.1225","2.4421","75.5919","75.5919","42.6309","3.5294","0.5174","0.0689","4.5581"
"153","216.22","151.36","","9.86","4.5426","2.7523","62.8897","62.8897","53.9126","3.1916","0.4243","0.1106","5.3391"
"154","495.12","346.59","","18.65","3.3116","2.3803","36.2104","36.2104","69.7459","3.693","0.5359","0.0745","5.2497"
"155","2.32","27.42","14","2.68","4.6537","2.6199","88.8997","88.8997","25","2.7832","0.464","0.1138","0.1434"
"156","373.61","261.52","","15.12","3.8869","2.3689","42.2806","42.2806","63.3567","3.6413","0.5393","0.0913","4.6569"
"157","364.21","254.95","","13.88","2.9936","2.2305","59.6715","59.6715","47.4602","3.6988","0.5808","0.0651","3.4886"
"158","372.58","260.8","","14.59","3.8293","2.7594","51.3143","51.3143","61.6619","3.1995","0.4222","0.0897","5.4938"
"159","172.95","121.06","","6.9","3.2109","2.2975","98.4026","98.4026","36.6789","3.9265","0.5607","0.0715","6.3033"
"160","331.47","232.03","","11.75","2.0758","2.2676","86.0245","86.0245","32.6481","3.6785","0.5697","0.0382","3.7589"
"161","526.87","368.81","","18.76","2.3487","1.9245","50.066","50.066","62.7829","4.3565","0.6727","0.0462","5.5732"
"162","34.85","39.66","18","3.75","4.2141","2.1133","92.3374","92.3374","37.8093","4.1158","0.616","0.1009","5.7397"
"163","328.3","229.81","","12.79","3.6996","2.3078","67.2574","67.2574","66.4124","4.1818","0.5577","0.0859","8.6739"
"164","314.42","220.1","","12.17","3.3743","2.2526","69.5705","69.5705","54.8936","4.0049","0.5742","0.0763","6.4495"
"165","296.6","207.62","","11.23","3.5411","2.658","79.5747","79.5747","56.4425","3.6384","0.4526","0.0812","8.13"
"166","304.74","213.32","","11.53","3.2809","2.9515","75.1495","75.1495","41.5789","2.796","0.3646","0.0736","4.2674"
"167","390.67","273.47","","13.47","2.3321","2.1495","85.297","85.297","55.5983","4.4036","0.6052","0.0457","8.7105"
"168","217.11","151.97","","9.14","3.6791","2.5398","74.5195","74.5195","37.6097","3.2531","0.488","0.0853","3.3098"
"169","361.34","252.94","","13.75","3.655","2.7165","63.5332","63.5332","63.1581","3.4818","0.435","0.0845","7.4592"
"170","290.13","203.09","","10.32","2.1105","2.2667","91.9198","91.9198","27.7875","3.648","0.57","0.0392","3.479"
"171","392.66","274.87","","15","3.4617","1.9754","57.9671","57.9671","72.0409","4.6381","0.6574","0.0789","8.6681"
"172","296.51","207.56","","13.45","4.6199","2.5501","34.5775","34.5775","60.6002","3.206","0.485","0.1129","3.019"
"173","168.58","118.01","","8.45","4.8","2.8256","64.9463","64.9463","50.3812","3.0339","0.4023","0.1271","4.8375"
"174","181.92","127.35","","8.07","3.8681","2.3689","80.7979","80.7979","44.8834","3.7655","0.5393","0.0908","5.7508"
"175","207.97","145.58","","7.65","2.2485","1.8539","100","100","25.2259","4.3163","0.6938","0.0433","4.3656"
"176","441.59","309.12","","15.45","2.3614","1.7935","71.3629","71.3629","61.3733","4.8254","0.7119","0.0466","8.1151"
"177","270.03","189.02","","11.25","4.2804","2.7556","64.9686","64.9686","60.6504","3.3872","0.4233","0.1029","7.0997"
"178","199.96","139.97","","7.62","2.7974","2.0957","97.7482","97.7482","34.0724","4.1289","0.6213","0.0594","5.6422"
"179","41.89","33.53","20","3.18","4.0957","2.562","100","100","25","3.368","0.4814","0.0975","4.5883"
"180","150.43","105.3","","7.91","4.391","2.5721","62.0633","62.0633","33.3383","2.9125","0.4784","0.1061","0.702"
"181","368.85","258.19","","13.56","3.1008","2.2797","71.5173","71.5173","60.5525","4.1387","0.5661","0.0683","7.9552"
"182","355.54","248.88","","13.17","3.4371","2.8672","72.4189","72.4189","59.4799","3.3178","0.3898","0.0782","7.8399"
"183","209.9","146.93","","8.9","3.6742","2.3085","78.4142","78.4142","44.6805","3.8073","0.5575","0.0851","5.3869"
"184","500.6","350.42","","17.93","2.5314","2.4208","54.4205","54.4205","61.3534","3.7046","0.5238","0.0516","5.8419"
"185","100.57","70.4","","5.1","3.5172","2.0571","96.6744","96.6744","33.6107","4.154","0.6329","0.0805","5.3968"
"186","310.97","217.68","","12.58","3.5523","2.1455","59.2969","59.2969","53.7859","3.9681","0.6063","0.0815","4.83"
"187","305.64","213.94","","11.8","3.2612","2.0285","73.4983","73.4983","56.5442","4.4141","0.6415","0.073","7.3386"
"188","180.61","126.42","","7.7","3.1929","1.9177","86.9238","86.9238","37.346","4.2907","0.6747","0.071","4.9129"
"189","105.72","74.01","","4.99","3.5814","2.3006","100","100","32.0211","3.9459","0.5598","0.0824","6.5113"
"190","173.19","121.23","","8.83","4.8","2.5806","65.019","65.019","59.1362","3.5906","0.4758","0.1217","6.7734"
"191","324.47","227.13","","12.5","3.0611","1.5","71.8253","71.8253","62.0667","5.366","0.8246","0.0671","8.3295"
"192","313.01","219.11","","11.74","2.9379","2.2771","75.8116","75.8116","45.0299","3.8196","0.5669","0.0635","5.1153"
"193","175.42","122.79","","8.12","4.031","2.4606","74.5157","74.5157","40.9809","3.4463","0.5118","0.0956","4.0509"
"194","281.04","196.73","","10.44","3.273","2.6792","86.4682","86.4682","48.9818","3.5277","0.4463","0.0733","7.4117"
"195","397.7","278.39","","15.26","3.594","2.2361","54.2767","54.2767","70.5622","4.1866","0.5792","0.0828","7.8486"
"196","230.52","161.37","","9.73","4.2259","3.0349","69.8524","69.8524","45.1596","2.6902","0.3395","0.1013","4.3458"
"197","282.49","197.75","","11.71","3.992","2.6665","59.717","59.717","51.3765","3.1979","0.45","0.0944","4.3562"
"198","355.97","249.18","","13.04","2.8253","2.7176","73.7688","73.7688","44.5406","3.1706","0.4347","0.0602","4.734"
"199","111.39","77.98","","5.04","3.5906","2.5554","100","100","26.7076","3.3857","0.4834","0.0827","4.6642"
"200","55.98","41.34","22","3.78","3.5469","1.9366","99.9933","99.9933","30.0018","4.28","0.669","0.0814","5.0473"
"201","322.6","225.82","","13.04","3.7743","2.4224","55.9604","55.9604","56.2894","3.5992","0.5233","0.088","4.934"
"202","173.27","121.29","","6.74","2.7058","2.1799","100","100","25","3.6882","0.596","0.0567","2.7826"
"203","26.71","30.13","17","2.91","3.8619","2.153","100","100","25.6378","4.0078","0.6041","0.0906","5.269"
"204","190.08","133.06","","8.11","3.929","2.6465","82.8731","82.8731","43.8026","3.3884","0.456","0.0926","5.7909"
"205","381.02","266.72","","13.58","2.4391","2.5246","77.2503","77.2503","45.3148","3.5083","0.4926","0.0489","5.3706"
"206","277.49","194.24","","11.03","3.636","2.3057","74.053","74.053","57.2209","4.0583","0.5583","0.084","7.5618"
"207","350.36","245.25","","12.64","2.7106","2.2541","79.0818","79.0818","50.4795","4.0372","0.5738","0.0568","6.7521"
"208","265.29","185.7","","10.59","3.0511","2.0339","72.1702","72.1702","38.1065","3.9255","0.6398","0.0668","3.1045"
"209","261.9","183.33","","9.6","2.7537","1.8852","93.5975","93.5975","49.2734","4.7352","0.6844","0.0581","8.4306"
"210","288.53","201.97","","11","2.8277","2.4217","75.4585","75.4585","32.2588","3.2961","0.5235","0.0603","2.2583"
"211","181.5","127.05","","6.97","3.0818","2.5607","100","100","29.3045","3.4196","0.4818","0.0677","5.0268"
"212","96.78","67.75","","4.75","4.0875","2.7336","100","100","35.9248","3.357","0.4299","0.0972","6.568"
"213","153.58","107.51","","8.1","4.8","2.9905","55.7656","55.7656","32.796","2.2277","0.3528","0.14","0"
"214","359.61","251.73","","15.08","4.3846","2.6378","35.7895","35.7895","67.4839","3.276","0.4587","0.1059","4.6957"
"215","105.69","73.98","","4.84","3.9654","3.0758","100","100","25","2.3771","0.3273","0.0937","2.0851"
"216","170.68","119.47","","7.63","4.1362","2.9803","77.1345","77.1345","31.501","2.5346","0.3559","0.0987","2.3161"
"217","124.1","86.87","","5.81","3.6767","2.4845","90.9339","90.9339","27.3263","3.3219","0.5047","0.0852","3.2455"
"218","502.89","352.03","","17.47","1.6053","2.1146","65.0533","65.0533","47.479","3.9406","0.6156","0.0244","4.2134"
"219","300.91","210.64","","12.08","3.6335","2.1165","66.3759","66.3759","60.5688","4.2854","0.6151","0.0839","7.2702"
"220","453.59","317.52","","16.79","2.7951","2.6527","50.6713","50.6713","52.5552","3.1087","0.4542","0.0593","3.4042"
"221","418.86","293.2","","17.74","4.5229","2.4514","16.6177","16.6177","76.5911","3.4682","0.5146","0.11","4.1319"
"222","325.36","227.75","","12.69","3.4202","2.3187","64.2156","64.2156","53.5811","3.7997","0.5544","0.0777","5.4437"
"223","537.98","376.58","","19.45","2.9152","2.5609","44.6864","44.6864","72.8902","3.6522","0.4817","0.0628","7.0764"
"224","411.03","287.72","","15.05","2.7036","2.3541","62.4729","62.4729","50.9254","3.6582","0.5438","0.0566","4.626"
"225","334.72","234.31","","13.01","3.4217","2.4058","62.4839","62.4839","53.0748","3.641","0.5283","0.0777","5.1004"
"226","233.2","163.24","","9.41","3.5714","2.5569","79.211","79.211","42.0609","3.4124","0.4829","0.0821","4.9173"
"227","70.27","51.83","22","4.71","4.186","2.4261","84.8411","84.8411","27.5152","3.3142","0.5222","0.1001","2.4712"
"228","-61.96","17.48","11","0.38","4.8","2.4814","100","100","25","3.4938","0.5056","0.1244","4.7213"
"229","338.79","237.16","","11.76","1.9503","2.1486","90.299","90.299","36.2023","3.996","0.6054","0.0345","5.1133"
"230","187.95","131.57","","8.81","4.8","2.9953","68.2115","68.2115","53.8233","2.9362","0.3514","0.1213","6.0321"
"231","189.8","132.86","","7.27","3.21","2.4349","100","100","38.6325","3.8784","0.5195","0.0715","7.5423"
