"draw","cumulative","peakDebt","breakEven","year10Cost","northGrowth","southGrowth","ukPensionShare","ukDebtShare","reratingScope","interestRate","taxMultiplier","investmentOutputReturn","oneOffTransitionCost"
"774","174.2","121.94","","7.32","4.3579","3.5","86.3004","86.3004","35.612","2","0.2","0.1052","4.4479"
"775","346.67","242.67","","12.65","2.994","2.7918","77.4054","77.4054","48.8461","3.2316","0.4125","0.0652","6.1682"
"776","381.45","267.02","","14.52","3.4882","2.9432","56.943","56.943","55.0353","2.8667","0.367","0.0797","4.7897"
"777","364.85","255.4","","14.17","3.42","2.7569","53.3801","53.3801","48.3112","2.9005","0.4229","0.0777","2.8333"
"778","376.73","263.71","","14.61","4.0223","3.1455","53.5016","53.5016","64.8386","2.7812","0.3063","0.0953","6.4856"
"779","180.58","126.41","","7.02","3.1715","2.4908","99.084","99.084","33.1137","3.582","0.5028","0.0704","5.6102"
"780","322.89","226.02","","12.62","3.6245","2.348","66.1134","66.1134","60.8159","3.9692","0.5456","0.0837","7.2895"
"781","500.52","350.36","","18.94","3.4053","2.3014","33.8473","33.8473","72.947","3.8455","0.5596","0.0772","5.6375"
"782","328.89","230.23","","11.77","1.981","2.5107","84.6694","84.6694","25.0188","3.1329","0.4968","0.0354","1.899"
"783","531.35","371.95","","19.7","2.9717","2.6533","34.7292","34.7292","65.7213","3.1944","0.454","0.0645","4.1659"
"784","294.36","206.05","","12.06","3.8145","2.539","59.0581","59.0581","50.4854","3.3409","0.4883","0.0892","4.072"
"785","24.11","27.22","17","2.77","4.5901","2.9372","97.291","97.291","25","2.5136","0.3688","0.112","1.61"
"786","245.56","171.89","","11.21","4.4181","2.4981","52.3212","52.3212","54.8467","3.4036","0.5006","0.1069","4.1293"
"787","188.17","131.72","","7.3","2.7092","1.8261","98.6769","98.6769","35.5043","4.5495","0.7022","0.0568","6.0816"
"788","263.58","184.51","","10.12","3.443","2.8921","81.2176","81.2176","41.0016","2.9555","0.3824","0.0783","4.953"
"789","551.02","385.71","","19.06","2.4914","2.4103","60.8043","60.8043","76.3906","4.1921","0.5269","0.0504","10.005"
"790","148.5","103.95","","6.04","4.0612","3.1865","100","100","35.611","2.9063","0.2941","0.0965","8.0817"
"791","371.67","260.17","","14.3","3.7047","2.9517","56.4084","56.4084","58.4874","2.9332","0.3645","0.086","5.4776"
"792","344.21","240.95","","11.39","1.3","1.9887","100","100","27.4054","4.3839","0.6534","0.02","6.5922"
"793","395.92","277.15","","14.55","2.9165","2.8955","65.6239","65.6239","49.4793","2.9255","0.3814","0.0629","4.7299"
"794","501.69","351.18","","18.63","3.3686","1.8332","43.8375","43.8375","84.1208","4.9206","0.7","0.0761","9.4335"
"795","416.43","291.5","","15.74","3.1096","2.6487","50.6061","50.6061","51.9157","3.0972","0.4554","0.0685","3.2548"
"796","157.31","110.11","","6.21","3.5095","2.9656","100","100","25","2.9174","0.3603","0.0803","5.5068"
"797","88.25","61.77","","4.58","3.6358","2.2795","98.8749","98.8749","29.6688","3.7832","0.5661","0.084","4.8243"
"798","336.31","235.42","","13.55","3.3359","1.9033","53.1584","53.1584","52.241","4.1691","0.679","0.0752","3.6681"
"799","170.27","119.19","","7.08","3.7058","2.8071","90.7116","90.7116","32.8638","3.0135","0.4079","0.086","4.434"
"800","155.6","108.92","","7.64","4.8","2.9774","74.5261","74.5261","50.3514","2.9701","0.3568","0.12","6.1139"
"801","505.54","353.88","","18.47","2.6173","2.1902","44.5798","44.5798","59.6337","3.8289","0.5929","0.0541","4.1458"
"802","72.32","51.11","24","4.38","4.8","3.2275","89.384","89.384","29.6984","2.3361","0.2818","0.1208","3.5599"
"803","90.81","63.57","","4.97","4.0463","2.6792","88.8995","88.8995","25","2.7654","0.4462","0.096","0.7036"
"804","178.46","124.92","","8.15","3.9763","2.6721","71.3993","71.3993","31.0801","2.8605","0.4484","0.094","1.4554"
"805","180.62","126.44","","7","2.9408","2.0178","100","100","35.8612","4.5336","0.6447","0.0636","8.2613"
"806","156.21","109.35","","7.9","4.2646","2.4121","69.4744","69.4744","41.5946","3.4516","0.5264","0.1024","3.5109"
"807","406.32","284.42","","14.59","2.8932","2.5485","71.3702","71.3702","59.7607","3.7471","0.4855","0.0622","7.7613"
"808","363.5","254.45","","13.89","3.3157","2.1019","62.3349","62.3349","61.7575","4.2735","0.6194","0.0746","6.9906"
"809","46.66","48.6","18","4.66","4.4469","2.2311","76.2","76.2","30.3826","3.5225","0.5807","0.1078","1.9449"
"810","197.26","138.08","","9.69","4.8","2.819","53.9317","53.9317","49.2903","2.848","0.4043","0.1265","3.1225"
"811","201.38","140.97","","7.64","3.477","2.61","100","100","46.0359","3.8958","0.467","0.0793","9.8147"
"812","115.04","80.8","25","6.59","4.7402","2.7701","72.1394","72.1394","40.0763","2.9619","0.419","0.1164","3.5337"
"813","270.18","189.12","","9.28","1.7925","1.5","100","100","30.8472","5.2125","0.8263","0.0299","6.9095"
"814","148.07","103.65","","6.5","3.5601","2.4754","90.4467","90.4467","29.807","3.389","0.5074","0.0818","3.726"
"815","181.68","127.18","","9.23","4.7232","2.6352","56.9188","56.9188","49.4429","3.15","0.4594","0.1159","3.5561"
"816","276.36","193.45","","10.95","3.2448","2.3892","70.1114","70.1114","38.4931","3.4153","0.5332","0.0725","2.9138"
"817","189.42","132.59","","7.85","3.4341","2.7077","83.3937","83.3937","25","2.8232","0.4377","0.0781","1.5569"
"818","323.37","226.36","","11.36","2.2989","2.5716","91.2747","91.2747","36.9992","3.4493","0.4785","0.0448","5.4192"
"819","-5.39","19.14","12","1.9","4.6291","2.8389","100","100","25","2.3746","0.3983","0.1131","0"
"820","558.93","391.25","","21.24","3.6528","2.7349","19.1343","19.1343","80.7077","3.2195","0.4295","0.0845","5.3745"
"821","196.47","137.53","","7.33","3.2425","3.1228","100","100","25","2.6559","0.3132","0.0724","5.1073"
